adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
205, RUE SAINT MAUR;2002;LOG.FR.;28;28;;;;acquisition conventionnement;;75010;logement familial;48.872304, 2.371428
207-211 RUE SAINT CHARLES;2003;RIVP;127;85;;;42;acquisition conventionnement;;75015;logement familial;48.839058, 2.279105
21 BIS-23, RUE PAJOL - 60-62 RUE PHILIPPE DE GIRARD;2013;SIEMP;15;8;;2;5;construction neuve;;75018;logement familial;48.887291, 2.360799
21 RUE DU GENERAL BEURET;2004;SIEMP;4;4;;;;acquisition réhabilitation;;75015;logement familial;48.840682, 2.302512
21 RUE PIXERECOURT;2009;SIEMP;4;2;;;2;acquisition réhabilitation;;75020;logement familial;48.871217, 2.395472
21 TER, RUE HAXO;2013;SIEMP;12;;;;12;construction neuve;;75020;logement familial;48.870425, 2.404824
21, RUE ALPHONSE BERTILLON;2015;SABLIERE;68;28;;20;20;construction neuve;;75015;logement familial;48.834306, 2.310815
21, RUE CONDORCET;2006;PARIS HAB;15;12;;3;;acquisition conventionnement;;75009;logement familial;48.879598, 2.346149
21, RUE DE FECAMP;2010;PARIS HAB;16;13;;;3;acquisition réhabilitation;;75012;logement familial;48.835325, 2.398828
21, RUE DES MALMAISONS;2003;PARIS HAB;32;;;32;;acquisition réhabilitation;;75013;foyer pour jeunes travailleurs ou résidence pour jeunes;48.821289, 2.361933
21, RUE D'OUESSANT;2003;ELOGIE;14;10;;;4;acquisition réhabilitation;;75015;logement familial;48.849914, 2.298065
21, RUE DU GENERAL BERTRAND;2005;SAGI;37;;;;37;acquisition réhabilitation;;75005;établissement d'hébergement pour personnes âgées dépendantes;
21, RUE JEAN-PIERRE TIMBAUD 28, RUE DE MALTE;2015;PARIS HAB;4;3;;1;;construction neuve;;75011;logement familial;48.865348, 2.368161
21-25, RUE RAMPONEAU;2005;PARIS HAB;20;20;;;;construction neuve;;75020;logement familial;48.871311, 2.380051
218, RUE DU FAUBOURG SAINT DENIS;2015;RIVP;14;6;;8;;acquisition réhabilitation;;75010;logement familial;48.883344, 2.35934
218, RUE LA FAYETTE;2014;RIVP;21;20;;1;;acquisition conventionnement;;75010;logement familial;48.881938, 2.367416
219 RUE SAINT MAUR;2015;AXIMO;1;1;;;;acquisition conventionnement;;75010;logement familial;48.873238, 2.370615
2-2 BIS RUE DE LA FRATERNITE;2007;RIVP;8;4;;;4;acquisition réhabilitation;;75019;logement familial;48.8814, 2.39372
2-2 BIS, RUE DE L'ARBALETE 20, RUE DES PATRIARCHES;2011;RIVP;6;6;;;;acquisition conventionnement;;75005;logement familial;48.840517, 2.350172
2-2 BIS, RUE EDMOND FLAMAND;2003;FREHA;25;;;25;;acquisition réhabilitation;projet abandonné;75013;logement familial;48.83686, 2.371757
22 RUE BERANGER (RS);2002;ADOMA;39;;;39;;acquisition réhabilitation;;75003;résidence sociale pour démuni;48.866535, 2.36353
1 A 9, RUE DU CHAROLAIS , 15 TER BD DE BERCY;2004;SABLIERE;80;64;;16;;construction neuve;;75012;logement familial;48.839723, 2.387225
1 RUE CHARLES DELESCLUZE ET 52 RUE TROUSSEAU;2009;ELOGIE;18;11;;2;5;acquisition réhabilitation;;75011;logement familial;48.852679, 2.379369
1, CITE BERGERE;2014;HSF;3;3;;;;construction neuve;;75009;logement familial;48.87201, 2.343539
1, PLACE DU PÈRE CHAILLET;2014;ELOGIE;1;1;;;;acquisition réhabilitation;;75011;logement familial;48.856771, 2.379039
1, PLACE OCTAVE CHANUTE 2, RUE DES MONTIBOEUFS;2016;SIEMP;26;14;;8;4;acquisition réhabilitation;;75020;logement familial;48.866245, 2.405964
1, RUE DE BELLIEVRE,7-9 QUAI D'AUSTERLITZ;2004;SAGI;9;;;;9;acquisition réhabilitation;;75013;logement familial;48.837639, 2.373294
1, RUE DE CASABLANCA;2010;BATIGERE;12;7;;3;2;acquisition réhabilitation;;75015;logement familial;48.838739, 2.289248
1, RUE LUCIEN ET SACHA GUITRY;2012;ELOGIE;1;1;;;;acquisition réhabilitation;;75020;logement familial;48.848143, 2.404074
1, RUE SAINT PAUL 3-7, RUE DE L'AVE MARIA 24-26, QUAI DES CELESTINS;2011;RIVP;22;22;;;;acquisition conventionnement;;75004;logement familial;48.852341, 2.36038
10 BIS, RUE DAGUERRE;2012;RIVP;12;6;;2;4;acquisition réhabilitation;;75014;logement familial;48.83375, 2.33034
10 RUE DIEU;2003;SAGI;19;19;;;;acquisition conventionnement;;75010;logement familial;48.870349, 2.364755
10 RUE DUPETIT THOUARS;2007;BATIGERE;16;12;;4;;construction neuve;;75003;logement familial;48.865285, 2.362182
10 RUE MATHIS;2011;SIEMP;12;;;;12;acquisition réhabilitation;;75019;logement familial;48.890799, 2.375865
10, RUE LAPLACE;2012;RIVP;12;8;;2;2;acquisition réhabilitation;;75005;logement familial;48.847329, 2.347565
100, RUE DES HAIES;2007;SIEMP;6;6;;;;acquisition réhabilitation;;75020;logement familial;48.853846, 2.402333
101, RUE DU FAUBOURG SAINT DENIS;2016;SNL;1;;;1;;acquisition réhabilitation;;75010;logement familial;48.874755, 2.355524
101-105 , BD BRUNE 2-8, ALLEE GASTON BACHELARD;2015;TOIT&JOIE;22;;;22;;acquisition réhabilitation;;75014;maison relais;48.826493, 2.315171
101-105, BD BRUNE;2016;RES.L.F.;58;;;;58;construction neuve;;75014;logement familial;48.825734, 2.315059
10-12, PASSAGE DU PETIT CERF 7 RUE BOULAY;2007;RIVP;22;11;;;11;acquisition réhabilitation;;75017;logement familial;48.893696, 2.316911
10-12, RUE CANDIE;2013;PARIS HAB;16;10;;3;3;construction neuve;;75011;logement familial;48.851356, 2.379393
10-12, RUE MOUNET SULLY;2007;ELOGIE;4;4;;;;acquisition réhabilitation;;75020;logement familial;48.84955, 2.405143
10-14 RUE DE LA FONTAINE A MULARD;2012;RIVP;20;;;;20;acquisition conventionnement;;75013;logement familial;48.823359, 2.34937
10-14 RUE SAINT GILLES;2003;SAGECO;75;50;;25;;acquisition réhabilitation;;75003;logement familial;48.857883, 2.366528
102, BD DE LA CHAPELLE;2010;SIEMP;1;1;;;;acquisition réhabilitation;;75018;logement familial;48.884087, 2.351514
103, RUE DE L'OUEST;2008;COALLIA;15;;;15;;construction neuve;;75014;centre d'hébergement d'urgence;48.834083, 2.315777
103-103 BIS, RUE DE CHARENTON;2004;PARIS HAB;32;26;;6;;construction neuve;;75012;logement familial;48.847292, 2.377893
104, BD DE CLICHY;2015;IMM 3F;10;4;;3;3;acquisition conventionnement;;75018;logement familial;48.884311, 2.33137
105 RUE DE ROME;2007;ELOGIE;8;6;;2;;acquisition réhabilitation;;75017;logement familial;48.884172, 2.318177
105, AVENUE DE LA REPUBLIQUE;2006;RIVP;18;9;;;9;acquisition conventionnement;;75011;logement familial;48.86319, 2.386262
105, RUE ALEXANDRE DUMAS;2008;PARIS HAB;15;11;;2;2;construction neuve;;75020;logement familial;48.855612, 2.400295
105-109, RUE DE REUILLY;2003;PARIS HAB;17;;;;17;acquisition conventionnement;;75012;logement familial;48.842488, 2.392444
105-109, RUE NOLLET;2008;LOG.FR.;7;6;;1;;construction neuve;;75017;logement familial;48.889528, 2.31688
106, RUE DE VAUGIRARD;2012;SDOMINPRES;2;;;;2;construction neuve;;75006;résidence pour étudiants;48.846044, 2.323208
108, AVENUE D'IVRY TOLBIAC;2016;HSF;14;;;;14;construction neuve;;75013;logement familial;48.825742, 2.360959
109-121 BD MORTIER;2012;RIVP;390;;;;390;acquisition conventionnement;;75020;logement familial;48.87229, 2.408332
11, RUE BOUCHARDON;2014;RIVP;13;8;;5;;construction neuve;;75010;logement familial;48.87016, 2.357326
11, RUE DU CHAROLAIS;2009;SABLIERE;210;100;;110;;acquisition réhabilitation;;75012;foyer pour jeunes travailleurs ou résidence pour jeunes;48.839858, 2.387132
110-122, RUE DES POISSONNIERS;2010;PARIS HAB;107;35;27;18;27;construction neuve;;75018;logement familial;48.894842, 2.352966
1-11, RUE DE L'ABBE ROUSSELOT;2015;PARIS HAB;1019;407;;306;306;acquisition conventionnement;;75017;logement familial;48.88969, 2.300216
11-11BIS RUE DU CONSERVATOIRE;2007;SEMIDEP;22;12;;4;6;acquisition réhabilitation;;75009;logement familial;48.873465, 2.346839
11-13, RUE DE BELLIEVRE;2014;ANTIN;1;;;1;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75013;foyer de travailleurs migrants;48.8376, 2.3719
112, BD DE LA CHAPELLE;2009;SIEMP;1;1;;;;acquisition réhabilitation;;75018;logement familial;48.884037, 2.350875
114, RUE DE TURENNE;2015;RIVP;39;15;;20;4;acquisition conventionnement;;75003;logement familial;48.863172, 2.364777
115 RUE DE CRIMEE ET 5 A 15, PASSAGE DU NORD (BATIMENT COUR);2003;SAGI;21;;;;21;construction neuve;;75019;logement familial;48.89252, 2.373798
116, RUE DE L'ABBE GROULT;2015;PARIS HAB;6;;;6;;acquisition réhabilitation;;75015;logement familial;48.83687, 2.300473
117-119, RUE DE MONTREUIL;2012;RIVP;119;34;;;85;acquisition conventionnement;;75011;logement familial;48.851046, 2.396337
118 BIS, AVENUE DE CLICHY 31, RUE BOULAY;2013;SABLIERE;111;55;;23;33;construction neuve;;75017;logement familial;48.889967, 2.321005
119, RUE DU FAUBOURG DU TEMPLE;2014;CASVP;37;37;;;;construction neuve;;75010;résidence pour personnes âgées;48.871321, 2.374678
12 A 16 RUE CHAUVELOT;2016;AXIMO;8;7;;1;;acquisition conventionnement;;75015;logement familial;48.829085, 2.302378
12 RUE DE BELLEVILLE;2009;SIEMP;2;2;;;;acquisition réhabilitation;;75020;logement familial;48.872428, 2.378573
12 RUE DE JESSAINT 1 RUE STEPHENSON;2016;PARIS HAB;14;6;;4;4;acquisition réhabilitation;;75018;logement familial;48.88497, 2.356676
12, RUE DE L'ABBE GREGOIRE;2001;A PARTAGE;6;;;;6;construction neuve;;75006;résidence pour personnes âgées;48.849014, 2.324054
12, RUE LAHIRE;2012;HSF;1;1;;;;construction neuve;;75013;logement familial;48.829812, 2.366524
12, RUE MOUNET SULLY;2015;ELOGIE;1;;;1;;acquisition réhabilitation;;75020;logement familial;48.84955, 2.405143
12, RUE PECLET;2011;ELOGIE;1;1;;;;acquisition réhabilitation;;75015;logement familial;48.842444, 2.298759
12, RUE ROUVET;2008;RIVP;25;;;;25;acquisition réhabilitation;;75019;logement familial;48.894123, 2.383543
120 RUE DE MEAUX;2009;ALLIANCE;40;;;40;;construction neuve;;75019;foyer pour jeunes travailleurs ou résidence pour jeunes;48.885729, 2.382095
120-124 RUE CARDINET;2009;ANTIN;40;;;40;;construction neuve;;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.886305, 2.312769
12-18, BOULEVARD DU FORT DE VAUX;2016;ADOMA;2;;;2;;construction neuve;;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.892437, 2.302744
122, RUE DE CHARONNE;2005;ELOGIE;6;6;;;;acquisition réhabilitation;;75011;logement familial;48.854949, 2.386651
122, RUE SAINT CHARLES;2016;IMM 3F;16;8;;8;;acquisition conventionnement;;75015;logement familial;48.844301, 2.283336
123, RUE DE CHARENTON;2014;RIVP;23;10;;10;3;construction neuve;;75012;logement familial;48.845716, 2.380256
123, RUE DE CHOISY;2002;ELOGIE;84;44;;12;28;acquisition conventionnement;;75013;logement familial;48.825927, 2.359909
126, RUE DU CHERCHE MIDI;2007;RIVP;15;;;15;;construction neuve;;75006;maison relais;48.845775, 2.319419
127, RUE DU FAUBOURG SAINT HONORE;2010;PARIS HAB;18;11;;4;3;construction neuve;;75008;logement familial;48.873274, 2.309406
127-131 RUE DU CHEMIN VERT 106-108 AVENUE DE LA REPUBLIQUE;2011;PARIS HAB;15;15;;;;construction neuve;;75011;logement familial;48.864767, 2.376384
128-138, BOULEVARD MURAT;2014;PARIS HAB;634;285;;159;190;acquisition conventionnement;;75016;logement familial;48.837196, 2.262135
13 AVENUE DE SAXE ET 5-7 VILLA DE SAXE;2011;HUMANISME;27;;;27;;construction neuve;;75005;foyer pour jeunes travailleurs ou résidence pour jeunes;
13 BIS, AVENUE PHILIPPE AUGUSTE;2004;PARIS HAB;22;17;;5;;acquisition conventionnement;;75011;logement familial;48.850338, 2.394462
1-3 RUE JEAN MOINON;2009;SIEMP;15;10;;5;;construction neuve;;75010;logement familial;48.873876, 2.370651
13 RUE JULES SIMON;2016;ELOGIE;1;;;1;;acquisition réhabilitation;;75015;logement familial;48.840311, 2.293153
1-3 RUE MARCADET, 20 A 30 RUE E.DUPLOYE -LOT 1;2006;PARIS HAB;55;55;;;;construction neuve;;75018;logement familial;48.890328, 2.355411
13 RUE PERDONNET;2012;ELOGIE;14;7;;1;6;acquisition réhabilitation;;75010;logement familial;48.883514, 2.360198
1-3, PLACE EDOUARD RENARD;2014;ELOGIE;2;1;;1;;acquisition réhabilitation;;75012;logement familial;48.835403, 2.407616
13, RUE BOULAY;2015;AXIMO;1;1;;;;acquisition conventionnement;;75017;logement familial;48.893449, 2.317076
13, RUE DE LA LANCETTE;2005;PARIS HAB;30;;;;30;acquisition conventionnement;;75012;logement familial;48.837269, 2.392512
13, RUE DE LA LANCETTE;2007;PARIS HAB;1;;;;1;acquisition conventionnement;;75012;logement familial;48.837269, 2.392512
13, RUE DE LA LANCETTE;2013;PARIS HAB;1;;;;1;acquisition conventionnement;;75012;logement familial;48.837269, 2.392512
13, RUE DES TOURELLES;2015;RIVP;15;;;;15;acquisition conventionnement;;75020;logement familial;48.874775, 2.404444
130, RUE AMELOT;2008;PARIS HAB;36;16;10;10;;acquisition réhabilitation;;75011;logement familial;48.864612, 2.36672
131-133, RUE DES POISSONNIERS 50-52 RUE BOINOD;2009;SIEMP;18;6;;3;9;acquisition réhabilitation;;75018;logement familial;48.894888, 2.352849
132, RUE CASTAGNARY;2007;SEMPSEINE;5;5;;;;construction neuve;;75015;logement familial;48.830028, 2.303462
134 BIS RUE DE TOLBIAC;2012;PARIS HAB;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.826271, 2.358052
134, RUE DE CHARENTON;2006;COOP.FAM.;41;33;;8;;acquisition conventionnement;;75012;logement familial;48.845821, 2.379832
134-136, BD BRUNE;2015;RIVP;94;38;;28;28;acquisition conventionnement;;75014;logement familial;48.823077, 2.324686
1-3-5 RUE DES TOURELLES;2009;SIEMP;25;19;;3;3;construction neuve;;75020;logement familial;48.874572, 2.403375
137 RUE DU FAUBOURG DU TEMPLE;2015;AXIMO;1;1;;;;acquisition conventionnement;;75010;logement familial;48.871961, 2.376463
138, AVENUE JEAN JAURES;2012;RIVP;131;131;;;;construction neuve;;75019;résidence pour étudiants;48.886104, 2.382253
14 BD VAUGIRARD;2007;HSF;58;;;58;;construction neuve;;75015;résidence sociale pour démuni;48.841937, 2.319292
14 BIS-16 RUE BLONDEL;2004;SIEMP;6;6;;;;acquisition réhabilitation;;75002;logement familial;48.868784, 2.353496
14, PLACE DE SEOUL 1-7, PLACE DE LA CATALOGNE;2015;RIVP;142;50;;21;71;acquisition conventionnement;;75014;logement familial;48.836809, 2.318368
14, RUE DAUMIER;2009;PARIS HAB;16;11;;1;4;acquisition conventionnement;;75016;logement familial;48.839517, 2.263804
14, RUE DE LOURMEL;2004;PARIS HAB;11;7;;4;;construction neuve;;75015;logement familial;48.84996, 2.291649
14, RUE DE NANTES 2-4, RUE BARBANEGRE;2016;DOMAXIS;3;1;;;2;construction neuve;;75019;logement familial;48.893111, 2.384311
14, RUE DE PARADIS;2008;PARIS HAB;25;14;;5;6;acquisition réhabilitation;;75010;logement familial;48.874725, 2.353927
14, RUE DES PATRIARCHES ET 5-9 PASSAGE DES PATRIARCHES;2010;ELOGIE;11;7;;4;;construction neuve;;75005;logement familial;48.841101, 2.350297
140A ET 144, RUE DE RIVOLI;2011;PARIS HAB;8;4;;4;;acquisition réhabilitation;;75001;logement familial;48.860434, 2.342658
141, BD RASPAIL;2009;PARIS HAB;12;10;;;2;acquisition conventionnement;;75006;logement familial;48.842849, 2.329553
141, RUE DE TOLBIAC (BARBIZON);2010;SAIRP;16;;;;16;construction neuve;;75013;logement familial;48.826122, 2.358753
14-14 BIS, PASSAGE DE LA BONNE GRAINE;2015;ADOMA;1;;;1;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75011;site de desserrement de foyer de travailleur migrant;48.851961, 2.37709
73 RUE DE WATTIGNIES;2001;RIVP;24;;;;24;acquisition conventionnement;;75012;logement familial;48.835065, 2.399522
73 RUE RIQUET;2010;SIEMP;38;24;;7;7;acquisition réhabilitation;;75018;logement familial;48.88996, 2.361837
73-79, AVENUE PHILIPPE AUGUSTE;2009;BATIGERE;1;1;;;;acquisition conventionnement;;75011;logement familial;48.854578, 2.392004
74 RUE PHILIPPE DE GIRARD;2007;SIEMP;33;33;;;;construction neuve;;75018;résidence pour étudiants;48.88832, 2.360785
75-77 RUE SAINT CHARLES;2010;PARIS HAB;1;1;;;;acquisition conventionnement;;75015;logement familial;48.847562, 2.286404
75-77, RUE DE REAUMUR;2014;ELOGIE;14;7;;7;;construction neuve;;75002;logement familial;48.866772, 2.34908
76, RUE DE LA COLONIE;2012;RIVP;1;;;;1;construction neuve;;75013;logement familial;48.823825, 2.351863
76, RUE JULIEN LACROIX;2016;SIEMP;1;1;;;;acquisition conventionnement;;75020;logement familial;48.872618, 2.382373
7-7 BIS, RUE SCHEFFER;2012;PARIS HAB;1;1;;;;acquisition conventionnement;;75016;logement familial;48.860649, 2.283907
77 RUE DE LA FONTAINE AU ROI;2007;ADOMA;189;;;189;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75011;foyer de travailleurs migrants;48.868899, 2.376345
77, AVENUE DE LA REPUBLIQUE;2003;FIAC;51;34;;;17;acquisition conventionnement;;75011;logement familial;48.864365, 2.380076
77-79, RUE LAUGIER ET 12, RUE GALVANI;2006;PARIS HAB;34;28;;6;;acquisition conventionnement;;75017;logement familial;48.884537, 2.291712
77-79, RUE LAUGIER ET 12, RUE GALVANI;2007;PARIS HAB;1;1;;;;acquisition conventionnement;;75017;logement familial;48.884537, 2.291712
79, RUE DES MARTYRS;2010;SIEMP;20;;;20;;construction neuve;projet abandonné refinancé;75018;maison relais;48.883079, 2.339634
7-9, RUE DIDOT;2002;SNL-PROLOG;1;;;1;;acquisition réhabilitation;;75014;logement familial;48.833895, 2.32184
79-81 RUE DU CHATEAU DES RENTIERS- LOT A2;2005;RIVP;23;4;;;19;construction neuve;;75013;logement familial;48.82685, 2.368756
8 A 12, RUE DE LA TOUR DES DAMES;2008;PARIS HAB;84;50;;17;17;construction neuve;;75009;logement familial;48.877811, 2.333158
8 BIS, RUE DE BELLEVILLE;2009;SIEMP;1;;;1;;acquisition réhabilitation;;75020;logement familial;48.872259, 2.377979
8 ET 43, RUE DAVY;2007;COOP.FAM.;31;;;31;;construction neuve;projet abandonné refinancé;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.891794, 2.322633
8 RUE DU DOCTEUR LAURENT;2008;SIEMP;9;;;;9;construction neuve;;75013;logement familial;48.824982, 2.35659
8 RUE MARCADET;2006;IMM 3F;42;;;42;;acquisition réhabilitation;;75018;foyer pour jeunes travailleurs ou résidence pour jeunes;48.890411, 2.354325
8, BD D'INDOCHINE;2010;RIVP;130;130;;;;construction neuve;;75019;résidence pour étudiants;48.884619, 2.397046
8, RUE CAPLAT;2008;SIEMP;13;;13;;;construction neuve;;75018;logement familial;48.884606, 2.352389
8, RUE DESCARTES;2003;PARIS HAB;10;10;;;;acquisition réhabilitation;;75005;logement familial;48.847134, 2.348589
8, RUE LA CONDAMINE;2007;LOGICIL;7;;;;7;construction neuve;;75017;logement familial;48.8878, 2.324186
8, RUE LOUIS GANNE;2012;RIVP;1;1;;;;construction neuve;;75020;logement familial;48.863408, 2.410471
80 BD JOURDAN, 71-73 RUE DU PERE CORENTIN, 146 RUE DE LA TOMBE ISSOIRE;2015;LOGIS.TR.;35;;;;35;construction neuve;;75014;logement familial;48.828159, 2.332593
80, BD BARBES;2005;PARIS HAB;18;18;;;;acquisition réhabilitation;;75018;logement familial;48.890036, 2.349818
80, RUE DU FAUBOURG SAINT ANTOINE;2010;PARIS HAB;1;;;1;;acquisition conventionnement;;75012;logement familial;48.851561, 2.374577
80-82 RUE DE TOLBIAC;2009;PAX.P.P.;230;;;230;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75013;foyer de travailleurs migrants;48.826959, 2.365834
81 RUE DE LA PLAINE;2010;SABLIERE;103;41;;62;;construction neuve;;75020;foyer pour jeunes travailleurs ou résidence pour jeunes;48.850412, 2.405664
81, RUE DU TEMPLE;2007;SIEMP;1;;;1;;acquisition réhabilitation;;75003;logement familial;48.861514, 2.356365
8-10, CITE DU HERON;2004;SIEMP;16;6;;;10;construction neuve;;75010;logement familial;48.874393, 2.3647
8-10, RUE DEMARQUAY;2012;BATIGERE;3;3;;;;acquisition conventionnement;;75010;logement familial;48.880994, 2.359416
8-10, RUE LISFRANC;2003;LOG.FR.;11;;;;11;acquisition conventionnement;;75020;logement familial;48.861895, 2.402476
81-83, RUE DU CHEVALERET;2009;PARIS HAB;25;17;;4;4;construction neuve;;75013;logement familial;48.82937, 2.37581
82 BD MURAT;2011;ELOGIE;1;1;;;;acquisition réhabilitation;;75016;logement familial;48.841154, 2.255942
82, RUE DOUDEAUVILLE;2011;TOIT&JOIE;13;13;;;;acquisition conventionnement;;75018;logement familial;48.888389, 2.350413
82, RUE LECOURBE;2012;GEC7;15;;;;15;construction neuve;;75015;résidence pour étudiants;48.843381, 2.305143
83, RUE DU BAC;2016;ELOGIE;10;5;;5;;acquisition réhabilitation;;75005;logement familial;48.842275, 2.352229
